Part Number,Product Name,Marketing name,Tagline,KSP,Link,Part Number,Title,CPU,GPU,OS,Office,Panel Size,Resolution,Brightness,RAM,SSD,IO Port,Weight (with Battery),Size,Expansion Slot,Include in the box,Battery,Power Supply,Security
90PF03Y2-M02LP0,D500TE-785000035X,ASUS ExpertCenter D5 Tower,Exceptional small-business value,"- High expandability with Tower 27L with Reliable Performance 
- Comprehensive I/O Port with connectivity  up to 3 monitor display
- Military Grade Certified with Business Security 3 years Onsite service (include 1Y Accidental Damage Protection)",0,90PF03Y2-M02LP0,ASUS ExpertCenter D5 Tower (i7-13700/8GB/512GB/Win 11 Home/D500TE),Intel® Core™ i7-13700 2.1GHz,Intel® UHD Graphics,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x Headphone
1x Mic in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x 2 in 1 card reader SD / MMC
1x Smart card reader",07.70 kg,17.60 x 39.30 x 38.50 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,500W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y2-M03620,D500TE-785000035W,ASUS ExpertCenter D5 Tower,Exceptional small-business value,"- High expandability with Tower 27L with Reliable Performance 
- Comprehensive I/O Port with connectivity  up to 3 monitor display
- Military Grade Certified with Business Security 3 years Onsite service (include 1Y Accidental Damage Protection)",0,90PF03Y2-M03620,ASUS ExpertCenter D5 Tower (i7-13700/8GB/512GB/Win 11 Home/D500TE),Intel® Core™ i7-13700 2.1GHz,Intel® UHD Graphics,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x Headphone
1x Mic in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,500W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M008P0,S500TE-382000003W,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M008P0,ASUS S500TE (i3-13100/8GB/256GB/Win 11 Home/S500TE),Intel® Core™ i3-13100 3.4GHz,Intel® UHD Graphics,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,256GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"2x M.2 connector for storage
1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,300W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M008S0,S500TE-585000003W,ASUS S500TE,Trusted by IT Experts. Built for Worry-Free Business.,"- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M008S0,#VALUE!,#VALUE!,8GB DDR4 U-DIMM,,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,"Intel® Core™ i5-13400 Processor 2.5GHz (20MB Cache, up to 4.6GHz, 10 cores, 16 Threads)
N/A",64GB,"Front:
High Definition 7.1 Channel Audio

Rear:
Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card",Wired Keyboard,#N/A,"1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A","3.5"" x 2",No Battery,Not Found,07.70 kg (16.98 lbs)
90PF03Y3-M008U0,S500TE-785000000W,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M008U0,ASUS S500TE (i7-13700/8GB/512GB/Win 11 Home/S500TE),Intel® Core™ i7-13700 2.1GHz,Intel® UHD Graphics,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"2x M.2 connector for storage
1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,500W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M008V0,S500TE-785030000W,ASUS S500TE,Trusted by IT Experts. Built for Worry-Free Business.,"- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M008V0,#VALUE!,#VALUE!,8GB DDR4 U-DIMM,,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,"Intel® Core™ i7-13700 Processor 2.1GHz (30MB Cache, up to 5.1GHz, 16 cores, 24 Threads)
N/A",64GB,"Front:
High Definition 7.1 Channel Audio

Rear:
Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.2 Wireless Card",Wired Keyboard,#N/A,"1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A","3.5"" x 2",No Battery,Not Found,07.70 kg (16.98 lbs)
90PF03Y3-M008W0,S500TE-715030000W,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M008W0,ASUS S500TE (i7-13700/16GB/512GB/Win 11 Home/S500TE),Intel® Core™ i7-13700 2.1GHz,"NVIDIA® GeForce® GT1030 2GB : 1x DVI, 1x HDMI",Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,16GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"2x M.2 connector for storage
1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,500W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M00H60,S500TE-382000013W,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M00H60,ASUS S500TE (i3-13100/8GB/256GB/Win 11 Home/S500TE),Intel® Core™ i3-13100 3.4GHz,Intel® UHD Graphics,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,256GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"2x M.2 connector for storage
1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,300W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M01C80,S500TE-585000050W,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M01C80,ASUS S500TE (i5-13500/8GB/512GB/Win 11 Home/S500TE),Intel® Core™ i5-13500 2.5GHz,Intel® UHD Graphics 770,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"2x M.2 connector for storage
1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,300W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M02N30,S500TE-382000002W,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M02N30,ASUS S500TE (i3-13100/8GB/256GB/Win 11 Home/S500TE),Intel® Core™ i3-13100 3.4GHz,Intel® UHD Graphics,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,256GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x Headphone
1x Mic in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,200W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M02N40,S500TE-385000002W,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M02N40,ASUS S500TE (i3-13100/8GB/512GB/Win 11 Home/S500TE),Intel® Core™ i3-13100 3.4GHz,Intel® UHD Graphics,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x Headphone
1x Mic in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,200W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M02N50,S500TE-585000002W,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M02N50,ASUS S500TE (i5-13500/8GB/512GB/Win 11 Home/S500TE),Intel® Core™ i5-13500 2.5GHz,Intel® UHD Graphics 770,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x Headphone
1x Mic in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,200W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M02N60,S500TE-585030002W,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M02N60,ASUS S500TE (i5-13500/8GB/512GB/Win 11 Home/S500TE),Intel® Core™ i5-13500 2.5GHz,"NVIDIA® GeForce® GT1030 2GB : 1x DVI, 1x HDMI",Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x Headphone
1x Mic in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,200W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M02N80,S500TE-785030002W,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M02N80,ASUS S500TE (i7-13700/8GB/512GB/Win 11 Home/S500TE),Intel® Core™ i7-13700 2.1GHz,"NVIDIA® GeForce® GT1030 2GB : 1x DVI, 1x HDMI",Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x Headphone
1x Mic in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,200W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M02N90,S500TE-715030002W,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M02N90,ASUS S500TE (i7-13700/8GB/512GB/Win 11 Home/S500TE),Intel® Core™ i7-13700 2.1GHz,"NVIDIA® GeForce® GT1030 2GB : 1x DVI, 1x HDMI",Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM *2,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x Headphone
1x Mic in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,200W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF03Y3-M03S60,S500TE-3131000300,ASUS S500TE,"Home computing, the smart way","- Reliable Performance for Everyday Productivity on easy upgrade Tower form factor
- Spacious setup for future upgradability : full I/O port, connect up to 3 monitor and high capacity of storage for future upgrade
- Reliable Security and Durability with 2 years full parts warranty",0,90PF03Y3-M03S60,ASUS S500TE (i3-13100/8GB/256GB/Win 11 Home/S500TE),Intel® Core™ i3-13100 3.4GHz,Intel® UHD Graphics,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,256GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x Displayport 1.4
2x PS2
3 x Audio jacks
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A

Rear:
1x Headphone
1x MIC in
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A",07.70 kg,17.60 x 39.30 x 38.50 cm,"2x M.2 connector for storage
1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,300W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF0401-M00AY0,D500SE-380500031W,ASUS ExpertCenter D5 SFF,Exceptional small-business value,"- Compact Small form Factor for Space saving with easy to upgrade design
- Immersive expandability and comprehensive I/O Port
- Military Grade Certified with Business Security 3 years Onsite service (include 1Y Accidental Damage Protection)",0,90PF0401-M00AY0,ASUS ExpertCenter D5 SFF (i3-13100/8GB/512GB/Win 11 Home/D500SE),Intel® Core™ i3-13100 3.4GHz,Intel® UHD Graphics 730,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x Headphone out
1x Line-in
1x MIC in
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
2x PS2
4x USB 2.0 Type-A

Rear:
1x Headphone
1x 3.5mm combo audio jack
2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-A
1x Headphone
1x 3.5mm combo audio jack
2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-A
1x 2 in 1 card reader SD / MMC
1x Smart card reader",05.00 kg,09.46 x 29.27 x 33.96 cm,"2x M.2 connector for storage
1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,180W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF0401-M00B00,D500SE-580500033W,ASUS ExpertCenter D5 SFF,Exceptional small-business value,"- Compact Small form Factor for Space saving with easy to upgrade design
- Immersive expandability and comprehensive I/O Port
- Military Grade Certified with Business Security 3 years Onsite service (include 1Y Accidental Damage Protection)",0,90PF0401-M00B00,ASUS ExpertCenter D5 SFF (i5-13400/8GB/512GB/Win 11 Home/D500SE),Intel® Core™ i5-13400 2.5GHz,Intel® UHD Graphics 730,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x Headphone out
1x Line-in
1x MIC in
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
2x PS2
4x USB 2.0 Type-A

Rear:
1x Headphone
1x 3.5mm combo audio jack
2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-A
1x Headphone
1x 3.5mm combo audio jack
2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-A
1x 2 in 1 card reader SD / MMC
1x Smart card reader",05.00 kg,09.46 x 29.27 x 33.96 cm,"2x M.2 connector for storage
1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,300W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF0401-M00NY0,D500SE-580520033W,ASUS ExpertCenter D5 SFF,Exceptional small-business value,"- Compact Small form Factor for Space saving with easy to upgrade design
- Immersive expandability and comprehensive I/O Port
- Military Grade Certified with Business Security 3 years Onsite service (include 1Y Accidental Damage Protection)",0,90PF0401-M00NY0,ASUS ExpertCenter D5 SFF (i5-13400/8GB/512GB/Win 11 Home/D500SE),Intel® Core™ i5-13400 2.5GHz,"NVIDIA® GeForce® GT1030 2GB : 1x DVI, 1x HDMI",Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR4 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x Headphone out
1x Line-in
1x MIC in
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
2x PS2
4x USB 2.0 Type-A

Rear:
1x Headphone
1x 3.5mm combo audio jack
2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-A
1x Headphone
1x 3.5mm combo audio jack
2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-A
1x 2 in 1 card reader SD / MMC
1x Smart card reader",05.00 kg,09.46 x 29.27 x 33.96 cm,"2x M.2 connector for storage
1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 connector for WiFi
2x DDR4 U-DIMM slot","Wired Keyboard (USB) with Antimicrobial Guard Technology
Wired optical Mouse (USB) with Antimicrobial Guard Technology",No Battery,300W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
Padlock loop
Trusted Platform Module (Firmware TPM)"
